danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,dance_style
0.355,0.956,-0.706,0.0799,0.000581,0.172,0.413,0.0874,110.037,Breaking
0.645,0.933,-3.588,0.0705,0.00675,1.27e-06,0.32,0.761,127.993,K-Pop
0.755,0.588,-5.48,0.0526,0.559,0.000117,0.305,0.513,121.064,Hip Hop
0.596,0.27,-11.486,0.0265,0.785,0.134,0.0647,0.155,100.006,Contemporary
0.639,0.756,-4.42,0.0606,0.0055,0.0,0.13,0.531,128.931,K-Pop
0.677,0.752,-6.639,0.154,0.222,0.0,0.0802,0.271,99.995,K-Pop
0.324,0.149,-18.318,0.051,0.976,1.33e-05,0.136,0.154,95.073,Ballet
0.113,0.478,-10.158,0.0381,0.814,3.83e-06,0.661,0.178,85.166,Ballet
0.29,0.129,-23.333,0.055,0.733,0.762,0.113,0.182,92.904,Ballet
0.428,0.594,-9.657,0.0693,0.875,2.2e-05,0.133,0.786,131.18,Contemporary
0.529,0.825,-4.454,0.0324,0.158,0.0131,0.385,0.227,93.969,Contemporary
0.621,0.504,-13.143,0.0286,0.771,0.736,0.284,0.0564,95.995,Ballet
0.644,0.817,-2.306,0.0889,0.341,0.0,0.357,0.965,175.945,Hip Hop
0.397,0.86,-2.398,0.0855,8.33e-05,6.39e-05,0.0253,0.578,168.057,K-Pop
0.701,0.584,-4.769,0.0265,0.538,0.0,0.186,0.542,109.994,K-Pop
0.667,0.473,-10.316,0.0305,0.849,0.000626,0.0845,0.322,105.905,K-Pop
0.489,0.859,-7.783,0.0327,0.273,0.976,0.0856,0.425,97.555,K-Pop
0.449,0.851,-11.559,0.0384,0.000341,3.41e-06,0.397,0.411,129.711,Breaking
0.786,0.797,-4.063,0.0414,0.233,0.0,0.0861,0.453,95.014,Hip Hop
0.437,0.479,-5.698,0.0326,0.841,0.0,0.185,0.308,141.49,K-Pop
0.705,0.562,-3.378,0.0674,0.257,0.0,0.137,0.569,163.893,Contemporary
0.61,0.953,-1.712,0.152,0.0305,5.72e-05,0.33,0.734,137.987,K-Pop
0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,Contemporary
0.567,0.892,-5.249,0.158,0.711,0.0,0.779,0.785,120.068,Salsa
0.707,0.273,-9.398,0.0361,0.711,0.0,0.145,0.442,141.755,Contemporary
0.867,0.85,-3.794,0.0434,0.349,0.000119,0.0471,0.967,110.045,Contemporary
0.163,0.0368,-23.149,0.0472,0.991,0.899,0.107,0.0387,69.442,Ballet
0.641,0.382,-7.272,0.0286,0.794,0.00508,0.0865,0.216,128.078,K-Pop
0.659,0.864,-5.427,0.0404,0.698,0.0,0.672,0.901,165.848,Salsa
0.752,0.725,-6.491,0.0825,0.551,3.44e-05,0.104,0.861,100.017,Breaking
0.825,0.345,-6.018,0.0372,0.601,0.0,0.121,0.506,116.072,Contemporary
0.333,0.171,-9.88,0.0378,0.993,0.00164,0.092,0.136,68.796,Ballet
0.692,0.226,-17.329,0.027,0.879,0.852,0.105,0.4,97.964,Ballet
0.485,0.602,-4.076,0.0271,0.163,0.0,0.0907,0.123,140.045,Salsa
0.425,0.642,-5.06,0.0502,0.164,0.0,0.118,0.112,170.008,Breaking
0.316,0.151,-13.062,0.0344,0.958,0.000383,0.152,0.102,74.359,Salsa
0.441,0.138,-12.136,0.0352,0.93,0.00023,0.105,0.119,85.492,Contemporary
0.754,0.37,-9.854,0.12,0.403,6.22e-05,0.107,0.228,114.941,Contemporary
0.827,0.717,-7.755,0.111,0.0908,0.000523,0.0511,0.772,123.987,Hip Hop
0.326,0.789,-5.472,0.0982,0.129,0.0,0.116,0.684,202.34,K-Pop
0.792,0.851,-6.243,0.0581,0.559,0.0,0.0425,0.974,171.852,Salsa
0.547,0.887,-8.558,0.0364,0.0131,0.162,0.0655,0.623,120.392,K-Pop
0.394,0.991,-3.351,0.0716,3.93e-05,0.00125,0.0563,0.834,97.93,Breaking
0.479,0.0764,-23.448,0.0325,0.988,0.918,0.0789,0.118,98.178,Ballet
0.655,0.941,-5.185,0.14,0.476,3.22e-06,0.215,0.344,88.073,Hip Hop
0.592,0.704,-10.531,0.0437,0.00274,0.0678,0.735,0.169,127.101,Hip Hop
0.658,0.791,-4.66,0.0512,0.102,0.0,0.139,0.744,75.017,Contemporary
0.604,0.903,-4.231,0.0449,0.000176,0.53,0.0586,0.078,125.989,Breaking
0.812,0.397,-8.426,0.189,0.471,2.32e-05,0.321,0.541,97.949,Contemporary
0.0871,0.0303,-23.895,0.0424,0.949,0.827,0.113,0.0346,86.015,Ballet
0.786,0.525,-7.373,0.13,0.14,0.0,0.199,0.686,130.077,Hip Hop
0.707,0.903,-4.414,0.0559,0.00257,2.19e-05,0.299,0.55,129.957,Contemporary
0.21,0.594,-18.816,0.0531,0.957,0.994,0.109,0.00505,70.912,Ballet
0.685,0.131,-15.824,0.0298,0.651,0.000536,0.141,0.183,109.176,Hip Hop
0.632,0.966,-4.005,0.0871,0.00168,0.0162,0.416,0.239,127.993,Breaking
0.63,0.202,-19.051,0.0302,0.958,0.871,0.112,0.0969,121.965,Ballet
0.679,0.84,-13.147,0.0469,0.0267,0.924,0.114,0.817,140.221,Breaking
0.665,0.905,-5.233,0.0599,0.000356,0.663,0.43,0.0378,99.755,Breaking
0.578,0.92,-3.672,0.0983,0.0265,4.74e-06,0.0885,0.828,180.481,Hip Hop
0.621,0.782,-5.548,0.044,0.0125,0.033,0.23,0.55,128.033,Hip Hop
0.739,0.372,-9.024,0.0862,0.241,0.839,0.103,0.667,82.008,Ballet
0.73,0.656,-5.07,0.0294,0.00797,0.00271,0.108,0.743,131.04,Contemporary
0.756,0.412,-11.219,0.111,0.099,0.000486,0.341,0.489,127.475,Breaking
0.685,0.744,-6.73,0.0431,0.146,0.0,0.352,0.578,128.036,Breaking
0.488,0.902,-2.68,0.0412,0.566,0.0,0.29,0.652,79.999,K-Pop
0.515,0.534,-8.045,0.0768,0.181,0.00278,0.0547,0.426,70.776,Contemporary
0.483,0.959,-2.336,0.0671,0.0117,0.0,0.201,0.451,145.074,K-Pop
0.35,0.25,-10.648,0.0314,0.698,1.46e-05,0.11,0.11,129.82,Ballet
0.639,0.869,-4.024,0.147,0.27,0.0,0.0802,0.767,169.801,Salsa
0.502,0.152,-16.771,0.0391,0.982,0.829,0.201,0.497,122.324,Salsa
0.358,0.961,-4.253,0.067,0.0307,0.208,0.237,0.0502,105.026,Breaking
0.554,0.853,-3.761,0.0439,0.555,0.0,0.314,0.651,132.151,K-Pop
0.761,0.811,-11.709,0.0544,0.0508,0.835,0.0792,0.763,136.012,Breaking
0.492,0.57,-5.123,0.032,0.169,0.0,0.271,0.266,140.037,Breaking
0.803,0.575,-6.917,0.0697,0.0344,0.000406,0.533,0.704,85.018,Hip Hop
0.737,0.902,-3.716,0.0607,0.464,0.000145,0.032,0.946,129.681,K-Pop
0.25,0.656,-6.576,0.0317,0.229,0.82,0.0956,0.15,104.987,Ballet
0.555,0.941,-3.294,0.0481,0.484,0.0,0.266,0.813,92.487,K-Pop
0.56,0.802,-5.428,0.0373,0.0863,0.0,0.116,0.423,103.059,Contemporary
0.505,0.627,-7.851,0.0273,0.423,7.4e-05,0.0755,0.296,141.881,Contemporary
0.658,0.854,-6.796,0.0323,0.467,0.137,0.578,0.516,119.562,Hip Hop
0.199,0.149,-18.329,0.0464,0.953,9.53e-05,0.345,0.0681,83.489,Ballet
0.696,0.11,-14.871,0.0349,0.992,0.865,0.0623,0.164,130.047,Ballet
0.358,0.0943,-20.965,0.0331,0.981,0.849,0.143,0.287,70.532,Ballet
0.386,0.323,-20.328,0.0369,0.915,0.919,0.239,0.136,97.807,Ballet
0.323,0.943,-8.451,0.0538,0.588,0.00529,0.227,0.0606,90.264,Breaking
0.287,0.19,-16.959,0.0379,0.941,0.369,0.0906,0.177,77.583,Ballet
